Tweet No,Tweet
1,"They are not stopping with this. Sure they're eyeing Hollywood 🧊🔥 #Kanguva #KanguvaSizzle"
2,"Man literally re-created "Athreya"s Evilness & Ruthless 🥵🔥💥 @Suriya_offl #Kanguva #KanguvaSizzle"
3,"Quote this tweet with your rating for the visual extravaganza #KanguvaSizzle 🔥🔥"
4,"Exuding STYLE with his MASSive presence 🔥 📸 - From #KanguvaSizzle launch ❤️ 🔥"
5,"Kanguva teaser looks amazing 💥Best wishes from Thalapathy Vijay fans✨ #Goat #Kanguva #ThalapathyVijay #Suriya #KanguvaSizzle #KanguvaTeaser"
6,"Kanguva Next Big Thing in KollyWood 😍🔥 #KanguvaSizzle"
7,"Tamil Bahubali...⏳🔥 Suriya Anna Comeback...⏳💥 #Kanguva Teaser Goosebumps 🥵🔥🔥"
8,"Dear theatre owners, please insure your theatres, kind request 🔥🔥🔥 #KanguvaSizzle #KanguvaTeaser #Kanguva"
9,"New Industry hit for tamil industry feels. Can see the team efforts clearly in this glimpse 👌👌 As usual you stunned me with your make over @Suriya_offl !! Wishing you the best & Looking forward to watch it on the big screen ❤️ #KanguvaSizzle #Kanguva"
10,"Seen the Teaser 50+ Times 🥵🔥 Still Can't get out from this 😭🔥🔥🔥 #KanguvaSizzle #Kanguva"
